year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1541.00,533.00,99.45,20.59,171.09,0.00,241.87,82.00,1.00,51582.00,12799.00,2905.00,12948.00,0.00,22930.00
2025,12,AA,American Airlines Network,JFK,"New York, NY: John F. Kennedy International",1246.00,346.00,96.92,7.92,95.71,0.59,144.86,22.00,1.00,31029.00,10077.00,923.00,5759.00,20.00,14250.00
2025,12,AS,Alaska Airlines Network,JFK,"New York, NY: John F. Kennedy International",367.00,80.00,22.02,0.77,28.57,1.00,27.63,7.00,3.00,5191.00,1393.00,24.00,2353.00,119.00,1302.00
2025,12,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",2965.00,920.00,313.73,7.53,275.75,2.24,320.74,131.00,2.00,77913.00,26787.00,853.00,15723.00,765.00,33785.00
2025,12,DL,Delta Air Lines Network,JFK,"New York, NY: John F. Kennedy International",2637.00,588.00,202.87,11.39,181.68,0.00,192.05,131.00,14.00,50965.00,20021.00,3668.00,12444.00,0.00,14832.00
2025,12,F9,Frontier Airlines,JFK,"New York, NY: John F. Kennedy International",307.00,80.00,30.73,1.60,19.83,0.00,27.84,12.00,0.00,5844.00,1968.00,100.00,1153.00,0.00,2623.00
2025,12,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",31.00,11.00,4.95,1.00,0.00,0.00,5.05,0.00,0.00,655.00,338.00,34.00,0.00,0.00,283.00
2025,12,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1299.00,358.00,82.59,21.44,140.98,1.17,111.82,46.00,2.00,26239.00,6224.00,2573.00,8599.00,140.00,8703.00
2025,11,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1739.00,334.00,68.91,10.77,114.34,0.00,139.98,57.00,1.00,33169.00,8832.00,1984.00,8983.00,0.00,13370.00
2025,11,AA,American Airlines Network,JFK,"New York, NY: John F. Kennedy International",1237.00,282.00,103.31,2.82,88.52,0.00,87.34,20.00,4.00,21416.00,6531.00,263.00,4402.00,0.00,10220.00
2025,11,AS,Alaska Airlines Network,JFK,"New York, NY: John F. Kennedy International",332.00,55.00,12.01,2.03,26.46,1.00,13.51,7.00,10.00,3039.00,739.00,118.00,1401.00,135.00,646.00
2025,11,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",2905.00,607.00,208.77,2.13,180.42,3.05,212.63,129.00,3.00,47018.00,14952.00,289.00,11030.00,92.00,20655.00
2025,11,DL,Delta Air Lines Network,JFK,"New York, NY: John F. Kennedy International",2547.00,433.00,142.90,6.11,162.21,0.00,121.78,23.00,7.00,33043.00,13503.00,583.00,9194.00,0.00,9763.00
2025,11,F9,Frontier Airlines,JFK,"New York, NY: John F. Kennedy International",298.00,53.00,18.72,1.00,14.77,0.00,18.51,5.00,0.00,4802.00,2734.00,116.00,527.00,0.00,1425.00
2025,11,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",30.00,5.00,2.00,0.00,0.00,0.00,3.00,0.00,0.00,273.00,130.00,0.00,0.00,0.00,143.00
2025,11,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1271.00,228.00,62.68,4.41,78.85,0.00,82.07,60.00,4.00,14221.00,3385.00,496.00,4637.00,0.00,5703.00
2025,10,F9,Frontier Airlines,JFK,"New York, NY: John F. Kennedy International",301.00,45.00,12.62,0.16,13.67,0.00,18.55,0.00,2.00,3832.00,919.00,9.00,578.00,0.00,2326.00
2025,10,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",31.00,6.00,3.34,0.00,0.00,0.43,2.23,0.00,0.00,292.00,215.00,0.00,0.00,16.00,61.00
2025,10,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1857.00,324.00,47.12,12.68,152.01,0.00,112.19,36.00,2.00,31431.00,6733.00,1767.00,13703.00,0.00,9228.00
2025,10,AA,American Airlines Network,JFK,"New York, NY: John F. Kennedy International",1239.00,283.00,93.13,5.09,101.31,0.72,82.75,14.00,6.00,26813.00,9623.00,691.00,7751.00,45.00,8703.00
2025,10,AS,Alaska Airlines Network,JFK,"New York, NY: John F. Kennedy International",339.00,80.00,22.82,2.74,47.52,0.00,6.92,5.00,4.00,3998.00,1100.00,559.00,2103.00,0.00,236.00
